name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S6@N_graphene-vdw,Na–S–Na,2,96.62,96.62,0.32,0.22,0.22,nan
Na2S6@N_graphene-vdw,S–S–Na,6,86.77,81.39,10.21,9.32,4.17,0.92
Na2S6@N_graphene-vdw,S–Na–S,6,84.98,80.74,13.54,12.36,5.53,0.65
Na2S6@N_graphene-vdw,C–C–N,6,119.95,119.95,0.04,0.04,0.02,0.02
Na2S6@N_graphene-vdw,C–C–C,161,120.01,120.01,0.06,0.06,0.00,-0.04
Na2S6@N_graphene-vdw,C–N–C,3,120.00,119.97,0.05,0.04,0.03,1.72
Na2S6@N_graphene-vdw,S–S–S,2,111.24,111.24,0.03,0.02,0.02,nan
Na2S8@N_graphene,S–Na–Na,7,66.93,53.56,19.53,18.08,7.38,0.36
Na2S8@N_graphene,S–Na–S,9,102.68,94.72,31.46,29.66,10.49,1.67
Na2S8@N_graphene,S–S–S,2,112.33,112.33,0.71,0.50,0.50,nan
Na2S8@N_graphene,Na–S–Na,2,77.29,77.29,0.26,0.18,0.18,nan
Na2S8@N_graphene,S–S–Na,7,90.69,89.38,4.82,4.46,1.82,0.44
Na2S8@N_graphene,C–N–C,3,120.00,119.97,0.05,0.04,0.03,1.72
Na2S8@N_graphene,C–C–N,6,119.95,119.95,0.04,0.04,0.02,0.02
Na2S8@N_graphene,C–C–C,161,120.01,120.01,0.06,0.06,0.00,-0.04
Na2S8@N_graphene-PC-vdw,S–S–S,4,112.77,112.80,1.37,1.18,0.68,-0.12
Na2S8@N_graphene-PC-vdw,C–C–N,6,119.95,119.95,0.04,0.04,0.02,0.02
Na2S8@N_graphene-PC-vdw,C–C–C,161,120.01,120.01,0.06,0.06,0.00,-0.04
Na2S8@N_graphene-PC-vdw,C–N–C,3,120.00,119.97,0.05,0.04,0.03,1.72
Na2S8@N_graphene-glyme-vdw,S–Na–S,6,104.39,95.41,33.57,30.64,13.70,1.77
Na2S8@N_graphene-glyme-vdw,Na–S–Na,1,90.04,90.04,nan,0.00,nan,nan
Na2S8@N_graphene-glyme-vdw,S–S–Na,5,90.96,88.01,4.91,4.39,2.19,0.89
Na2S8@N_graphene-glyme-vdw,S–S–S,4,110.29,110.77,3.19,2.76,1.59,-0.55
Na2S8@N_graphene-glyme-vdw,C–N–C,3,120.00,119.97,0.05,0.04,0.03,1.72
Na2S8@N_graphene-glyme-vdw,C–C–N,6,119.95,119.95,0.04,0.04,0.02,0.02
Na2S8@N_graphene-glyme-vdw,C–C–C,161,120.01,120.01,0.06,0.06,0.00,-0.04
Na2S@N_graphene-PC-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S@N_graphene-PC-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,0.24
Na2S@N_graphene-PC-vdw,C–C–C,151,120.00,120.00,0.00,0.00,0.00,0.15
Na2S@N_graphene-glyme-vdw,C–C–C,151,120.00,120.00,0.00,0.00,0.00,0.15
Na2S@N_graphene-glyme-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S@N_graphene-glyme-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,0.24
Na2S@N_graphene-glyme-vdw,Na–S–Na,1,167.59,167.59,nan,0.00,nan,nan
Na2S@N_graphene-vdw,C–N–C,3,120.00,120.00,0.00,0.00,0.00,1.01
Na2S@N_graphene-vdw,C–C–C,151,120.00,120.00,0.00,0.00,0.00,0.15
Na2S@N_graphene-vdw,C–C–N,6,120.00,120.00,0.00,0.00,0.00,0.24
Na2S@N_graphene-vdw,Na–S–Na,1,133.12,133.12,nan,0.00,nan,nan
