name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,S–Fe–Na,4,45.69,45.38,4.65,4.03,2.32,0.21
Na2S2@FeN4,Na–Fe–Na,1,83.66,83.66,nan,0.00,nan,nan
Na2S2@FeN4,S–Na–Na,4,26.39,26.16,2.77,2.39,1.38,0.11
Na2S2@FeN4,S–Na–S,2,45.62,45.62,0.56,0.39,0.39,nan
Na2S2@FeN4,Fe–Na–Na,2,48.17,48.17,3.37,2.38,2.38,nan
Na2S2@FeN4,Fe–Na–S,4,56.35,56.10,18.43,15.96,9.22,0.02
Na2S2@FeN4,N–Na–Na,3,71.74,72.11,10.47,8.55,6.04,-0.15
Na2S2@FeN4,N–Na–S,6,80.22,74.67,17.06,15.58,6.97,0.74
Na2S2@FeN4,N–Na–Fe,3,31.21,32.75,2.67,2.18,1.54,-1.73
Na2S2@FeN4,N–Na–N,1,49.59,49.59,nan,0.00,nan,nan
Na2S2@FeN4,C–Na–Na,14,97.22,100.40,25.99,25.05,6.95,-0.72
Na2S2@FeN4,C–Na–S,28,106.01,105.51,25.52,25.06,4.82,-0.11
Na2S2@FeN4,C–Na–Fe,14,64.16,63.78,16.23,15.64,4.34,-0.05
Na2S2@FeN4,C–Na–N,21,50.40,51.25,17.42,17.00,3.80,0.04
Na2S2@FeN4,C–Na–C,42,51.37,47.89,21.42,21.16,3.30,0.26
Na2S2@FeN4,N–S–S,1,149.97,149.97,nan,0.00,nan,nan
Na2S2@FeN4,N–S–Fe,1,41.40,41.40,nan,0.00,nan,nan
Na2S2@FeN4,Na–S–Na,2,127.23,127.23,6.70,4.74,4.74,nan
Na2S2@FeN4,S–S–Na,4,67.19,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Fe–S–Na,4,77.95,77.89,14.29,12.38,7.15,0.01
Na2S2@FeN4,Fe–S–S,2,75.00,75.00,57.85,40.91,40.91,nan
Na2S2@FeN4,N–Fe–Na,8,90.00,89.98,35.69,33.39,12.62,0.00
Na2S2@FeN4,S–Fe–S,1,29.99,29.99,nan,0.00,nan,nan
Na2S2@FeN4-PC,C–C–C,116,120.00,120.00,0.00,0.00,0.00,-0.46
Na2S2@FeN4-PC,N–S–S,1,150.87,150.87,nan,0.00,nan,nan
Na2S2@FeN4-PC,C–Na–S,1,83.61,83.61,nan,0.00,nan,nan
Na2S2@FeN4-PC,C–C–Na,3,90.00,89.76,1.17,0.96,0.68,0.90
Na2S2@FeN4-PC,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S2@FeN4-PC,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S2@FeN4-PC,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4-PC,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4-PC,C–N–S,2,106.65,106.65,14.94,10.56,10.56,nan
Na2S2@FeN4-PC,Fe–N–S,1,53.23,53.23,nan,0.00,nan,nan
Na2S2@FeN4-PC,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S2@FeN4-PC,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S2@FeN4-PC,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4-PC,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S2@FeN4-PC,C–Fe–S,20,90.00,90.01,12.32,12.00,2.75,0.00
Na2S2@FeN4-PC,N–S–Fe,1,42.13,42.13,nan,0.00,nan,nan
Na2S2@FeN4-PC,S–S–Na,2,87.54,87.54,0.12,0.09,0.09,nan
Na2S2@FeN4-PC,Fe–S–Na,2,93.91,93.91,1.21,0.85,0.85,nan
Na2S2@FeN4-PC,Na–S–Na,1,157.57,157.57,nan,0.00,nan,nan
Na2S2@FeN4-PC,S–Fe–S,1,29.93,29.93,nan,0.00,nan,nan
Na2S2@FeN4-PC,N–Fe–S,8,90.00,90.00,12.76,11.94,4.51,-0.00
Na2S2@FeN4-PC,Fe–S–S,2,75.04,75.04,59.00,41.72,41.72,nan
Na2S4@FeN4,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S4@FeN4,N–Fe–Na,8,90.01,90.02,37.08,34.68,13.11,0.00
Na2S4@FeN4,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S4@FeN4,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S4@FeN4,C–C–Na,39,86.71,81.32,24.32,24.00,3.89,0.13
Na2S4@FeN4,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S4@FeN4,N–C–Na,4,105.98,105.40,6.39,5.53,3.19,0.41
Na2S4@FeN4,Fe–C–Na,5,96.25,91.63,8.74,7.82,3.91,1.50
Na2S4@FeN4,Fe–N–Na,3,98.87,90.32,19.06,15.56,11.00,1.61
Na2S4@FeN4,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S4@FeN4,C–N–Na,6,82.76,83.79,34.41,31.41,14.05,-0.04
Na2S4@FeN4,Na–N–Na,1,72.43,72.43,nan,0.00,nan,nan
Na2S4@FeN4,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S4@FeN4,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S4@FeN4,C–Fe–S,20,90.00,90.00,13.91,13.55,3.11,-0.00
Na2S4@FeN4,S–Fe–S,1,29.73,29.73,nan,0.00,nan,nan
Na2S4@FeN4,C–Fe–Na,20,90.01,90.03,36.80,35.87,8.23,-0.00
Na2S4@FeN4,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S4@FeN4,S–Fe–Na,4,50.01,49.62,10.98,9.51,5.49,0.19
Na2S4@FeN4,C–Na–S,60,114.58,111.89,26.67,26.45,3.44,0.08
Na2S4@FeN4,Fe–S–S,3,91.93,117.30,51.24,41.83,29.58,-1.68
Na2S4@FeN4,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S4@FeN4,S–Na–Na,8,48.75,45.63,11.84,11.07,4.18,1.80
Na2S4@FeN4,S–Na–S,12,55.84,46.94,23.07,22.09,6.66,0.82
Na2S4@FeN4,Fe–Na–Na,2,62.48,62.48,17.34,12.26,12.26,nan
Na2S4@FeN4,Fe–Na–S,8,70.23,70.61,30.87,28.87,10.91,0.01
Na2S4@FeN4,N–Na–Na,3,70.12,56.55,28.43,23.21,16.41,1.66
Na2S4@FeN4,N–Na–S,12,85.24,88.72,28.71,27.49,8.29,0.59
Na2S4@FeN4,N–Na–Fe,3,26.01,29.21,5.59,4.56,3.23,-1.73
Na2S4@FeN4,N–Na–N,1,49.03,49.03,nan,0.00,nan,nan
Na2S4@FeN4,C–Na–Na,15,96.40,93.84,22.60,21.83,5.83,0.04
Na2S4@FeN4,C–Na–Fe,15,64.83,66.41,19.25,18.60,4.97,-0.19
Na2S4@FeN4,C–Na–N,21,54.23,46.50,18.76,18.31,4.09,-0.24
Na2S4@FeN4,C–Na–C,51,46.49,44.68,18.55,18.36,2.60,0.54
Na2S4@FeN4,S–S–S,2,110.61,110.61,1.56,1.10,1.10,nan
Na2S4@FeN4,Na–S–Na,4,82.50,82.07,13.57,11.75,6.78,0.19
Na2S4@FeN4,S–S–Na,12,71.35,70.08,20.29,19.43,5.86,0.71
Na2S4@FeN4,Fe–S–Na,4,85.54,89.92,14.25,12.34,7.13,-1.57
Na2S4@FeN4,Na–Fe–Na,1,55.04,55.04,nan,0.00,nan,nan
Na2S4@FeN4,N–Fe–S,8,90.00,90.00,14.45,13.52,5.11,0.00
Na2S4@FeN4-PC,S–Fe–S,1,29.74,29.74,nan,0.00,nan,nan
Na2S4@FeN4-PC,Na–S–Na,2,150.17,150.17,1.83,1.30,1.30,nan
Na2S4@FeN4-PC,S–Na–S,4,33.28,28.28,10.32,8.94,5.16,1.99
Na2S4@FeN4-PC,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S4@FeN4-PC,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S4@FeN4-PC,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S4@FeN4-PC,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S4@FeN4-PC,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S4@FeN4-PC,C–N–S,2,106.75,106.75,12.74,9.01,9.01,nan
Na2S4@FeN4-PC,Fe–N–S,1,53.51,53.51,nan,0.00,nan,nan
Na2S4@FeN4-PC,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S4@FeN4-PC,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S4@FeN4-PC,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S4@FeN4-PC,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S4@FeN4-PC,N–Fe–S,8,90.00,90.00,14.23,13.31,5.03,0.00
Na2S4@FeN4-PC,N–S–Fe,1,41.97,41.97,nan,0.00,nan,nan
Na2S4@FeN4-PC,N–S–S,1,142.40,142.40,nan,0.00,nan,nan
Na2S4@FeN4-PC,Fe–S–S,3,91.79,117.50,51.27,41.86,29.60,-1.69
Na2S4@FeN4-PC,Fe–S–Na,1,122.61,122.61,nan,0.00,nan,nan
Na2S4@FeN4-PC,S–S–S,2,114.10,114.10,2.09,1.48,1.48,nan
Na2S4@FeN4-PC,C–Fe–S,20,90.00,90.00,13.72,13.38,3.07,-0.00
Na2S4@FeN4-PC,S–S–Na,8,89.91,78.89,28.95,27.08,10.24,2.02
Na2S6@FeN4,Na–Fe–Na,1,70.05,70.05,nan,0.00,nan,nan
Na2S6@FeN4,S–Fe–Na,4,44.04,44.04,0.41,0.35,0.20,-0.05
Na2S6@FeN4,S–Fe–S,1,57.23,57.23,nan,0.00,nan,nan
Na2S6@FeN4,N–Fe–Na,8,90.00,90.01,27.49,25.71,9.72,-0.00
Na2S6@FeN4,N–Fe–S,8,90.00,90.01,19.54,18.28,6.91,0.00
Na2S6@FeN4,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S6@FeN4,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S6@FeN4,C–Fe–S,20,90.00,90.00,19.16,18.67,4.28,-0.00
Na2S6@FeN4,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S6@FeN4,Fe–N–Na,4,80.79,80.94,1.25,1.08,0.63,-0.26
Na2S6@FeN4,C–N–Na,8,98.60,97.90,18.32,17.14,6.48,0.01
Na2S6@FeN4,S–S–S,10,76.00,98.75,36.39,34.52,11.51,-0.42
Na2S6@FeN4,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S6@FeN4,C–Fe–Na,20,90.00,90.02,26.80,26.12,5.99,0.00
Na2S6@FeN4,S–S–Na,24,75.81,70.46,25.18,24.65,5.14,0.62
Na2S6@FeN4,N–Na–S,20,122.84,120.77,25.74,25.09,5.76,-0.02
Na2S6@FeN4,Fe–S–S,4,117.14,117.03,12.61,10.92,6.30,0.00
Na2S6@FeN4,Fe–S–Na,4,53.00,53.04,0.24,0.21,0.12,-1.11
Na2S6@FeN4,C–Na–C,20,54.15,55.38,20.13,19.62,4.50,-0.11
Na2S6@FeN4,C–Na–Fe,10,53.58,58.16,10.79,10.23,3.41,-0.10
Na2S6@FeN4,C–Na–S,50,126.11,130.16,26.69,26.42,3.77,-0.67
Na2S6@FeN4,C–Na–Na,10,96.80,107.05,21.75,20.63,6.88,-0.26
Na2S6@FeN4,N–Na–N,2,49.09,49.09,0.04,0.03,0.03,nan
Na2S6@FeN4,N–Na–Fe,4,34.89,34.87,0.15,0.13,0.07,0.53
Na2S6@FeN4,N–Na–Na,4,81.42,81.44,1.26,1.09,0.63,-0.03
Na2S6@FeN4,Fe–Na–S,10,108.08,100.84,28.57,27.10,9.03,0.91
Na2S6@FeN4,Fe–Na–Na,2,54.98,54.98,0.23,0.16,0.16,nan
Na2S6@FeN4,S–Na–S,20,61.14,65.72,21.11,20.57,4.72,-0.07
Na2S6@FeN4,S–Na–Na,10,63.82,49.32,22.79,21.62,7.21,1.35
Na2S6@FeN4,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S6@FeN4,Na–S–Na,4,72.69,72.70,11.33,9.81,5.66,-0.00
Na2S6@FeN4,Fe–C–Na,10,59.77,58.43,3.08,2.93,0.98,0.34
Na2S6@FeN4,C–Na–N,20,43.26,47.39,17.91,17.45,4.00,-0.13
Na2S6@FeN4,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S6@FeN4,C–C–Na,22,101.27,107.89,19.54,19.09,4.17,-0.45
Na2S6@FeN4,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S6@FeN4,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S6@FeN4,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S6@FeN4,N–C–Na,8,58.02,58.30,14.37,13.44,5.08,-0.01
Na2S6@FeN4-PC,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S6@FeN4-PC,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S6@FeN4-PC,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S6@FeN4-PC,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S6@FeN4-PC,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S6@FeN4-PC,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S6@FeN4-PC,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S6@FeN4-PC,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S6@FeN4-PC,S–S–Na,6,108.54,108.19,3.94,3.59,1.61,0.51
Na2S6@FeN4-PC,S–S–S,4,111.71,111.70,0.72,0.62,0.36,0.01
Na2S6@FeN4-PC,S–Na–S,2,62.66,62.66,0.19,0.13,0.13,nan
Na2S6@FeN4-PC,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S6@FeN4-glyme,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S6@FeN4-glyme,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S6@FeN4-glyme,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S6@FeN4-glyme,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S6@FeN4-glyme,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S6@FeN4-glyme,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S6@FeN4-glyme,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S6@FeN4-glyme,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S6@FeN4-glyme,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S6@FeN4-glyme,S–S–S,14,77.27,83.68,30.02,28.93,8.02,-0.67
Na2S6@FeN4-glyme,S–S–Na,28,75.88,59.76,28.34,27.83,5.36,1.34
Na2S6@FeN4-glyme,Na–S–Na,4,98.98,98.44,15.08,13.06,7.54,0.05
Na2S6@FeN4-glyme,S–Na–S,20,58.25,64.21,19.92,19.41,4.45,0.31
Na2S6@FeN4-glyme,S–Na–Na,10,49.93,42.70,20.98,19.91,6.64,1.35
Na2S8@FeN4,N–Fe–S,4,90.01,90.01,21.04,18.22,10.52,-0.00
Na2S8@FeN4,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S8@FeN4,C–Fe–Na,10,90.00,89.99,16.50,15.65,5.22,0.00
Na2S8@FeN4,C–Fe–S,10,90.01,90.01,19.31,18.32,6.11,-0.00
Na2S8@FeN4,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S8@FeN4,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S8@FeN4,Fe–N–Na,2,71.60,71.60,5.63,3.98,3.98,nan
Na2S8@FeN4,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S8@FeN4,N–Fe–Na,4,89.99,89.99,18.11,15.68,9.05,0.00
Na2S8@FeN4,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S8@FeN4,Fe–C–Na,3,57.08,57.48,2.62,2.14,1.51,-0.67
Na2S8@FeN4,N–C–Na,3,60.51,60.91,2.81,2.29,1.62,-0.62
Na2S8@FeN4,C–C–Na,6,104.78,105.81,17.13,15.64,6.99,-0.10
Na2S8@FeN4,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S8@FeN4,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S8@FeN4,C–N–Na,4,100.67,98.00,7.41,6.42,3.71,1.55
Na2S8@FeN4,S–Fe–Na,1,45.25,45.25,nan,0.00,nan,nan
Na2S8@FeN4,Fe–Na–Na,1,146.21,146.21,nan,0.00,nan,nan
Na2S8@FeN4,S–S–Na,30,72.82,72.52,23.24,22.85,4.24,0.26
Na2S8@FeN4,S–Na–Na,15,62.74,58.12,14.44,13.95,3.73,1.20
Na2S8@FeN4,S–Na–S,49,81.42,83.07,36.33,35.95,5.19,0.01
Na2S8@FeN4,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S8@FeN4,Fe–Na–S,8,111.72,107.76,24.13,22.57,8.53,0.47
Na2S8@FeN4,N–Na–Na,2,150.00,150.00,28.71,20.30,20.30,nan
Na2S8@FeN4,N–Na–S,16,114.22,118.99,19.66,19.03,4.91,-0.44
Na2S8@FeN4,N–Na–Fe,2,33.31,33.31,1.24,0.87,0.87,nan
Na2S8@FeN4,N–Na–N,1,43.47,43.47,nan,0.00,nan,nan
Na2S8@FeN4,C–Na–Na,3,146.49,148.75,21.25,17.35,12.27,-0.47
Na2S8@FeN4,C–Na–S,24,115.48,116.04,23.79,23.29,4.86,0.01
Na2S8@FeN4,C–Na–Fe,3,49.15,50.88,5.59,4.57,3.23,-1.26
Na2S8@FeN4,C–Na–N,6,37.46,34.87,17.61,16.08,7.19,0.50
Na2S8@FeN4,Fe–S–Na,2,77.83,77.83,37.86,26.77,26.77,nan
Na2S8@FeN4,Fe–S–S,3,109.78,107.21,10.82,8.84,6.25,1.01
Na2S8@FeN4,Na–S–Na,7,59.61,57.33,9.65,8.94,3.65,-0.00
Na2S8@FeN4,S–S–S,10,76.02,87.33,36.47,34.60,11.53,-0.27
Na2S8@FeN4,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S8@FeN4,C–Na–C,3,48.97,39.59,17.27,14.10,9.97,1.72
Na2S8@FeN4-PC,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S8@FeN4-PC,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S8@FeN4-PC,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S8@FeN4-PC,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S8@FeN4-PC,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S8@FeN4-PC,S–Na–Na,1,64.11,64.11,nan,0.00,nan,nan
Na2S8@FeN4-PC,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S8@FeN4-PC,S–S–S,6,85.76,111.19,40.97,37.40,16.73,-0.96
Na2S8@FeN4-PC,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S8@FeN4-PC,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S8@FeN4-PC,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S8@FeN4-PC,S–S–Na,2,89.88,89.88,8.02,5.67,5.67,nan
Na2S8@FeN4-glyme,C–N–Na,6,103.09,100.23,14.92,13.62,6.09,0.57
Na2S8@FeN4-glyme,C–Fe–Na,10,90.00,89.99,14.41,13.67,4.56,0.00
Na2S8@FeN4-glyme,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S8@FeN4-glyme,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S8@FeN4-glyme,Fe–N–Na,3,62.81,62.96,9.27,7.57,5.35,-0.07
Na2S8@FeN4-glyme,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S8@FeN4-glyme,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.07
Na2S8@FeN4-glyme,N–C–Na,4,62.46,59.02,8.87,7.68,4.44,1.86
Na2S8@FeN4-glyme,C–C–Na,8,104.13,106.48,23.54,22.02,8.32,-0.39
Na2S8@FeN4-glyme,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S8@FeN4-glyme,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S8@FeN4-glyme,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S8@FeN4-glyme,C–C–C,126,120.00,120.00,0.00,0.00,0.00,-0.67
Na2S8@FeN4-glyme,Fe–C–Na,4,53.17,52.68,3.17,2.74,1.58,0.84
Na2S8@FeN4-glyme,N–Fe–Na,4,89.99,89.99,15.85,13.73,7.93,0.00
Na2S8@FeN4-glyme,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.36
Na2S8@FeN4-glyme,S–S–Na,29,73.46,74.15,23.46,23.06,4.36,0.41
Na2S8@FeN4-glyme,S–S–S,13,89.12,109.45,37.11,35.65,10.29,-0.79
Na2S8@FeN4-glyme,Fe–Na–Na,1,173.30,173.30,nan,0.00,nan,nan
Na2S8@FeN4-glyme,Fe–Na–S,8,115.67,113.56,14.18,13.26,5.01,-0.03
Na2S8@FeN4-glyme,N–Na–S,24,118.10,118.72,23.94,23.44,4.89,-0.14
Na2S8@FeN4-glyme,N–Na–Fe,3,33.29,33.64,3.18,2.59,1.83,-0.50
Na2S8@FeN4-glyme,N–Na–N,3,52.26,48.31,9.96,8.14,5.75,1.50
Na2S8@FeN4-glyme,C–Na–Na,4,134.59,134.19,9.49,8.22,4.74,0.08
Na2S8@FeN4-glyme,N–Na–Na,3,147.91,148.10,6.01,4.91,3.47,-0.14
Na2S8@FeN4-glyme,C–Na–Fe,4,48.58,48.58,6.02,5.21,3.01,0.00
Na2S8@FeN4-glyme,C–Na–N,12,46.21,43.33,21.86,20.93,6.31,0.29
Na2S8@FeN4-glyme,C–Na–C,6,52.61,50.85,22.94,20.94,9.37,0.04
Na2S8@FeN4-glyme,S–Na–Na,13,59.64,57.89,13.57,13.04,3.76,0.67
Na2S8@FeN4-glyme,S–Na–S,38,71.10,80.27,30.35,29.95,4.92,-0.12
Na2S8@FeN4-glyme,C–Na–S,32,122.00,128.75,28.93,28.47,5.11,-0.11
Na2S8@FeN4-glyme,Na–S–Na,5,70.89,62.67,13.87,12.41,6.20,0.55
Na2S@FeN4,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S@FeN4,Fe–N–Na,2,72.28,72.28,2.85,2.01,2.01,nan
Na2S@FeN4,C–N–Na,4,101.25,99.88,10.93,9.47,5.47,0.22
Na2S@FeN4,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S@FeN4,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
Na2S@FeN4,N–C–Na,5,70.28,61.57,34.65,30.99,15.50,2.00
Na2S@FeN4,Fe–C–Na,7,73.22,54.95,34.79,32.21,13.15,1.25
Na2S@FeN4,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S@FeN4,C–C–Na,32,92.06,92.88,23.36,22.99,4.13,0.04
Na2S@FeN4,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S@FeN4,Na–C–Na,2,73.49,73.49,1.33,0.94,0.94,nan
Na2S@FeN4,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S@FeN4,C–Na–S,13,111.79,106.88,21.98,21.11,6.10,0.36
Na2S@FeN4,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S@FeN4,N–Fe–Na,4,90.01,90.01,23.18,20.08,11.59,-0.00
Na2S@FeN4,Na–S–Na,1,108.53,108.53,nan,0.00,nan,nan
Na2S@FeN4,C–Na–C,38,47.49,44.64,18.12,17.88,2.94,0.29
Na2S@FeN4,C–Na–N,10,43.12,44.72,18.74,17.78,5.93,0.16
Na2S@FeN4,C–Na–Fe,5,55.01,58.81,10.38,9.28,4.64,-0.22
Na2S@FeN4,C–Na–Na,13,80.20,74.76,24.15,23.21,6.70,0.26
Na2S@FeN4,N–Na–N,1,50.30,50.30,nan,0.00,nan,nan
Na2S@FeN4,N–Na–Fe,2,37.63,37.63,0.70,0.49,0.49,nan
Na2S@FeN4,N–Na–S,2,122.37,122.37,9.77,6.91,6.91,nan
Na2S@FeN4,N–Na–Na,2,90.45,90.45,11.67,8.25,8.25,nan
Na2S@FeN4,Fe–Na–S,1,153.02,153.02,nan,0.00,nan,nan
Na2S@FeN4,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
Na2S@FeN4,C–Fe–Na,10,90.01,90.01,21.30,20.21,6.74,-0.00
Na2S@FeN4,C–C–C,116,120.00,120.00,0.00,0.00,0.00,-0.46
Na2S@FeN4,S–Na–Na,2,35.74,35.74,0.28,0.20,0.20,nan
