name,NaPS,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S6-glyme-vdw,Na2S6,S–S–S,2,111.61,111.61,0.04,0.03,0.03,nan
Na2S6-glyme-vdw-elecmin,Na2S6,S–S–S,2,111.57,111.57,0.06,0.04,0.04,nan
Na2S6-glyme-vdw-elecmin,Na2S6,S–S–Na,3,88.86,83.44,9.45,7.72,5.46,1.73
Na2S6-glyme-vdw-elecmin,Na2S6,S–Na–S,1,95.75,95.75,nan,0.00,nan,nan
Na2S6-vdw,Na2S6,S–S–Na,6,83.57,79.18,8.91,8.13,3.64,0.89
Na2S6-vdw,Na2S6,S–S–S,2,111.16,111.16,0.01,0.01,0.01,nan
Na2S6-vdw,Na2S6,Na–S–Na,2,97.74,97.74,0.02,0.02,0.02,nan
Na2S6-vdw,Na2S6,S–Na–S,6,86.49,81.07,14.32,13.07,5.84,0.75
Na2S8-PC-vdw,Na2S8,S–S–S,4,112.39,113.41,3.95,3.42,1.98,-0.98
Na2S8-PC-vdw-elecmin,Na2S8,S–S–S,4,112.23,113.35,3.82,3.31,1.91,-1.30
Na2S8-glyme-vdw,Na2S8,S–S–S,2,115.03,115.03,1.59,1.12,1.12,nan
Na2S8-glyme-vdw,Na2S8,S–S–Na,3,92.53,95.01,7.79,6.36,4.50,-1.29
Na2S8-glyme-vdw,Na2S8,Na–S–Na,1,104.29,104.29,nan,0.00,nan,nan
Na2S8-glyme-vdw,Na2S8,S–Na–S,1,108.18,108.18,nan,0.00,nan,nan
Na2S8-glyme-vdw-elecmin,Na2S8,S–S–S,2,116.27,116.27,0.77,0.55,0.55,nan
Na2S8-vdw,Na2S8,Na–S–Na,2,75.54,75.54,1.59,1.12,1.12,nan
Na2S8-vdw,Na2S8,S–S–Na,8,93.38,95.51,21.32,19.94,7.54,0.97
Na2S8-vdw,Na2S8,S–S–S,6,111.78,111.89,2.10,1.91,0.86,-0.23
Na2S8-vdw,Na2S8,S–Na–S,6,96.57,100.99,28.69,26.19,11.71,-1.64
Na2S8-vdw,Na2S8,S–Na–Na,6,63.55,53.35,21.41,19.54,8.74,2.08
Na2S8-vdw-elecmin,Na2S8,S–Na–Na,4,62.06,59.64,14.82,12.84,7.41,0.36
Na2S8-vdw-elecmin,Na2S8,Na–S–Na,1,80.62,80.62,nan,0.00,nan,nan
Na2S8-vdw-elecmin,Na2S8,S–S–S,2,114.10,114.10,1.29,0.91,0.91,nan
Na2S8-vdw-elecmin,Na2S8,S–S–Na,4,92.81,90.78,14.21,12.31,7.10,0.83
Na2S8-vdw-elecmin,Na2S8,S–Na–S,2,112.63,112.63,9.10,6.44,6.44,nan
